Date,Time,,League,Visitor,Home,Location,LCount,GCount
8/13/2016,10:00am,,AFC,Jaguars,Raiders,RHS Stadium,1,1
8/13/2016,11:00am,,AFC,Dolphins,Broncos,RHS Stadium,2,2
8/13/2016,12:00pm,,AFL,Power,Rush,RHS Stadium,1,3
8/13/2016,1:00pm,,NFC,Bears,Panthers,RHS Stadium,1,4
8/13/2016,2:00pm,,NFC,Saints,Lions,RHS Stadium,2,5
8/13/2016,3:00pm,,NFC,Buccaneers,Falcons,RHS Stadium,3,6
8/13/2016,4:00pm,,AFL,Rattlers,Avengers,RHS Stadium,2,7
8/13/2016,5:00pm,,NFC,Eagles,Cardinals,RHS Stadium,4,8
8/13/2016,6:00pm,,AFC,Chiefs,Jets,RHS Stadium,3,9
8/13/2016,7:00pm,,AFC,Chargers,Ravens,RHS Stadium,4,10
8/14/2016,1:00pm,,AFC,Patriots,Titans,RHS Stadium,5,11
8/14/2016,2:00pm,,AFC,Colts,Steelers,RHS Stadium,6,12
8/14/2016,3:00pm,,AFL,Storm,Blaze,RHS Stadium,3,13
8/14/2016,4:00pm,,AFL,Sharks,Thunder,RHS Stadium,4,14
8/14/2016,5:00pm,,AFL,Outlaws,Vipers,RHS Stadium,5,15
8/21/2016,10:00am,,NFC,Panthers,Buccaneers,Volunteer Park 1,5,16
8/21/2016,12:00pm,,AFC,Steelers,Dolphins,Volunteer Park 1,9,21
8/21/2016,1:00pm,,AFL,Rush,Outlaws,Volunteer Park 1,6,25
8/21/2016,2:00pm,,AFL,Vipers,Storm,Volunteer Park 1,8,27
8/21/2016,10:00am,,NFC,Cardinals,Falcons,Volunteer Park 2,6,17
8/21/2016,11:00am,,AFC,Jets,Chargers,Volunteer Park 2,7,19
8/21/2016,12:00pm,,AFC,Ravens,Jaguars,Volunteer Park 2,10,22
8/21/2016,1:00pm,,AFC,Titans,Colts,Volunteer Park 2,12,24
8/21/2016,2:00pm,,AFL,Thunder,Avengers,Volunteer Park 2,9,28
8/21/2016,10:00am,,NFC,Lions,Bears,Volunteer Park 3,7,18
8/21/2016,11:00am,,AFC,Broncos,Chiefs,Volunteer Park 3,8,20
8/21/2016,12:00pm,,AFC,Raiders,Patriots,Volunteer Park 3,11,23
8/21/2016,1:00pm,,AFL,Power,Blaze,Volunteer Park 3,7,26
8/21/2016,2:00pm,,AFL,Sharks,Rattlers,Volunteer Park 3,10,29
8/22/2016,6:00pm,,NFC,Eagles,Lions,Dale Blum Field,8,30
8/22/2016,7:00pm,,AFC,Jets,Broncos,Dale Blum Field,13,31
8/22/2016,8:00pm,,AFL,Thunder,Storm,Dale Blum Field,11,32
8/23/2016,6:00pm,,NFC,Panthers,Falcons,Dale Blum Field,9,33
8/23/2016,7:00pm,,AFC,Steelers,Raiders,Dale Blum Field,14,34
8/23/2016,8:00pm,,AFL,Avengers,Blaze,Dale Blum Field,12,35
8/27/2016,10:00am,,NFC,Buccaneers,Cardinals,Volunteer Park 1,10,36
8/27/2016,11:00am,,NFC,Falcons,Lions,Volunteer Park 1,13,41
8/27/2016,1:00pm,,AFC,Chiefs,Steelers,Volunteer Park 1,17,42
8/27/2016,2:00pm,,AFC,Patriots,Ravens,Volunteer Park 1,20,45
8/27/2016,3:00pm,,AFL,Thunder,Outlaws,Volunteer Park 1,15,48
8/27/2016,10:00am,,NFC,Saints,Panthers,Volunteer Park 2,11,37
8/27/2016,11:00am,,AFC,Chargers,Broncos,Volunteer Park 2,15,39
8/27/2016,1:00pm,,AFC,Dolphins,Titans,Volunteer Park 2,18,43
8/27/2016,2:00pm,,AFL,Rush,Sharks,Volunteer Park 2,13,46
8/27/2016,3:00pm,,AFL,Blaze,Vipers,Volunteer Park 2,16,49
8/27/2016,10:00am,,NFC,Eagles,Bears,Volunteer Park 3,12,38
8/27/2016,11:00am,,AFC,Jaguars,Jets,Volunteer Park 3,16,40
8/27/2016,1:00pm,,AFC,Colts,Raiders,Volunteer Park 3,19,44
8/27/2016,2:00pm,,AFL,Avengers,Power,Volunteer Park 3,14,47
8/27/2016,3:00pm,,AFL,Rattlers,Storm,Volunteer Park 3,17,50
8/28/2016,1:00pm,,NFC,Buccaneers,Eagles,Volunteer Park 1,14,51
8/28/2016,2:00pm,,NFC,Lions,Falcons,Volunteer Park 1,17,56
8/28/2016,3:00pm,,AFC,Raiders,Dolphins,Volunteer Park 1,23,57
8/28/2016,4:00pm,,AFC,Titans,Chiefs,Volunteer Park 1,26,60
8/28/2016,5:00pm,,AFL,Thunder,Rattlers,Volunteer Park 1,20,63
8/28/2016,1:00pm,,NFC,Panthers,Cardinals,Volunteer Park 2,15,52
8/28/2016,2:00pm,,AFC,Jets,Patriots,Volunteer Park 2,21,54
8/28/2016,3:00pm,,AFC,Steelers,Chargers,Volunteer Park 2,24,58
8/28/2016,4:00pm,,AFL,Avengers,Rush,Volunteer Park 2,18,61
8/28/2016,5:00pm,,AFL,Vipers,Sharks,Volunteer Park 2,21,64
8/28/2016,1:00pm,,NFC,Bears,Saints,Volunteer Park 3,16,53
8/28/2016,2:00pm,,AFC,Ravens,Colts,Volunteer Park 3,22,55
8/28/2016,3:00pm,,AFC,Broncos,Jaguars,Volunteer Park 3,25,59
8/28/2016,4:00pm,,AFL,Outlaws,Blaze,Volunteer Park 3,19,62
8/28/2016,5:00pm,,AFL,Storm,Power,Volunteer Park 3,22,65
8/29/2016,6:00pm,,NFC,Buccaneers,Saints,Dale Blum Field,18,66
8/29/2016,7:00pm,,AFL,Outlaws,Sharks,Dale Blum Field,23,67
9/10/2016,10:00am,,NFC,Bears,Eagles,Century Park 1,24,85
9/10/2016,11:00am,,NFC,Lions,Cardinals,Century Park 1,26,87
9/10/2016,12:00pm,,AFC,Chiefs,Dolphins,Century Park 1,34,89
9/10/2016,1:00pm,,AFC,Ravens,Jets,Century Park 1,36,91
9/10/2016,2:00pm,,AFC,Broncos,Steelers,Century Park 1,38,93
9/10/2016,3:00pm,,AFL,Blaze,Rattlers,Century Park 1,29,95
9/10/2016,4:00pm,,AFL,Sharks,Avengers,Century Park 1,31,97
9/10/2016,5:00pm,,AFL,Power,Outlaws,Century Park 1,33,99
9/10/2016,10:00am,,NFC,Falcons,Saints,Century Park 2,25,86
9/10/2016,11:00am,,NFC,Buccaneers,Panthers,Century Park 2,27,88
9/10/2016,12:00pm,,AFC,Jaguars,Chargers,Century Park 2,35,90
9/10/2016,1:00pm,,AFC,Titans,Raiders,Century Park 2,37,92
9/10/2016,2:00pm,,AFC,Colts,Patriots,Century Park 2,39,94
9/10/2016,3:00pm,,AFL,Vipers,Thunder,Century Park 2,30,96
9/10/2016,4:00pm,,AFL,Storm,Rush,Century Park 2,32,98
9/12/2016,6:00pm,,AFC,Ravens,Titans,Dale Blum Field,40,100
9/12/2016,7:00pm,,AFC,Patriots,Dolphins,Dale Blum Field,41,101
9/12/2016,8:00pm,,AFL,Rattlers,Power,Dale Blum Field,34,102
9/17/2016,10:00am,,NFC,Eagles,Panthers,Century Park 1,28,103
